"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Properties", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\router\profile.router.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\router\user-category.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\service\auth.service.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 34, 163
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\service\mail.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 6, 42
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\service\token.service.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 15, 98
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\service\user-category.service.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 14, 79
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\sss.mjs", "JavaScript", 0, 0, 0, 81, 0, 0, 0, 18, 99
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\utils\validate.utils.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 3, 54
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\tsconfig.json", "JSON with Comments", 0, 10, 0, 0, 0, 0, 95, 9, 114
"Total", "-", 3268, 10, 1464, 81, 10, 19823, 120, 428, 25204
